Date,2016 ice cream sales,2017 ice cream sales,2016 water sales,2017 water sales,2016 insecticide control sales,2017 insecticide control sales,2016 jelly sales,2017 jelly sales,2016 AVG temp,2016 MAX temp,2016 MIN temp,2016 Humidity,2016 Rainfall,2017 AVG temp,2017 MAX temp,2017 MIN temp,2017 Humidity,2017 Rainfall,2016 yogurt sales,2017 yogurt sales,2016 beer sales,2017 beer sales,2016 dehumidifier sales,2017 dehumidifier sales,2016 plant protein sales,2017 plant protein sales
1/3,4301,5581,81093,76173,3838,3918,8694,10428,6.3,11.7,2.2,52,0,11.1,16.5,7.3,63,0.5,383295,351706,45697,39775,5147,3749,26036,23510
2/3,4422,5310,83528,76197,3357,4517,9328,10950,10.5,16.1,6.1,65,0,6.7,11.7,3.8,48,0,385743,488667,47106,39131,4751,3891,26000,23741
3/3,4831,8058,84690,95894,3625,3814,9576,15011,15.1,22.3,10,64,0,8.9,13.6,4.3,56,0,379679,609230,49598,50380,4730,4067,70528,30229
4/3,6265,12599,145882,137049,3729,4474,12949,23136,17.7,22.8,14.4,69,0,12.2,19.8,7.1,61,0,614236,861055,62163,72781,5458,6625,43770,43293
5/3,10926,12120,155143,127394,3370,4180,19710,22620,19,25.8,15.1,73,0,11.6,13.1,10.7,81,4.3,842067,901511,83293,65723,8677,7210,57205,42201
6/3,11359,7067,145775,77954,4281,4279,19911,11830,11.4,18.7,10.3,86,0,9,11.9,6.7,51,0,904813,357467,76067,39505,9382,4177,43688,24376
7/3,5618,6315,86474,77247,3516,5800,10513,11832,13.3,20.4,10,84,0,9,14.7,4.9,52,0,394118,356128,46969,48274,5353,3736,24718,23941
8/3,6510,8773,125588,89436,3526,6621,13188,17398,10,13.3,6.6,91,36.8,9.1,14,5,54,0,436049,458954,51722,50559,5552,4928,81737,36214
9/3,4922,6771,69071,73901,4150,4738,9243,11395,5.8,7,4.8,68,16,11.2,17.5,6.1,57,0,333852,340421,41810,47916,4608,3614,21535,21971
10/3,4740,9828,69513,91356,3821,4398,52518,15100,4.4,6.3,2.3,58,0.1,12.5,15.7,10.7,67,0,351170,451249,49091,53013,4469,6397,29405,29190
11/3,6840,17117,93061,132474,2940,4104,40898,25645,5.4,10.1,1.3,47,0,12.4,17.2,8.6,64,0,675138,695597,65864,79447,5464,11720,30884,45448
12/3,10369,15702,126871,120217,2940,3324,80481,23166,7.7,12,4,55,0,12.1,13.1,11.2,84,10.8,888078,646575,84869,68028,7641,13036,42757,42501
13/3,10040,8649,118185,72365,2973,2728,66010,11417,9.1,10.4,7.7,81,0.2,8.7,11.2,6.9,83,16.3,872964,360627,79130,41503,8933,7957,41443,23729
14/3,6406,9044,78742,75970,2315,3473,45151,12956,8.7,12,6.1,68,0,8.5,12.5,5.2,58,0,398004,384329,46988,47713,5114,6628,25146,25487
15/3,7776,9142,77017,77108,2095,3542,27855,12774,8.9,12.9,5.2,63,0,9.1,14.4,5,57,0,380882,373552,47619,43878,4972,5118,29525,24588
16/3,6611,9610,78344,78818,2856,2758,12974,15858,12.7,19.2,8.3,65,0,9.8,12.7,8.3,61,0,390989,421118,48419,45475,4922,5021,24223,25903
17/3,7252,12585,81508,93899,3028,2665,16836,18966,13.8,18.3,10.5,85,0,9.9,13.8,6.8,64,0,384798,521075,57582,54739,6004,5292,24285,30655
18/3,10569,18906,124095,147141,2605,2953,23274,28913,16.1,19.4,14,86,1.8,11.7,13.3,9.8,66,0,507412,743577,64983,76323,10817,8539,32046,42642
19/3,16172,19069,157773,121236,2353,3734,62769,29010,14.4,16.5,13.1,84,0.3,11,12.7,10.2,79,4.7,697905,727326,93071,72206,21063,11307,91829,43692
20/3,15255,11609,142700,79750,1801,3321,57066,15388,12.2,16.7,9,54,0,11.5,12.5,10.7,94,14.7,696092,422553,84622,45947,19710,6337,45704,24194
21/3,7626,13147,81319,76871,4058,4078,15763,15414,11.6,15.1,8.7,69,0,11.4,15.6,8.9,68,0.6,379209,391883,47317,44294,7855,5723,23537,23521
22/3,8196,11842,82451,76704,1601,3972,16335,14912,12.6,14.4,11,75,0,8.8,10.7,8,78,5.5,384119,382888,53392,40665,7556,5310,31494,21399
23/3,8145,15160,79736,89511,1766,4081,16589,18170,11.5,13.7,9.2,62,0,9.5,11.2,7.8,85,2.5,379390,421487,50141,45851,6908,5379,25395,25765
24/3,7820,19053,85211,99810,1898,4377,17612,35403,8.9,12,7,47,0,9.9,12.2,8.5,74,3.2,388200,512458,52112,59700,6710,5036,24349,31715
25/3,13068,27312,114525,129947,1558,5151,76759,31292,9.7,14.2,6.4,47,0,10.9,15.2,6.9,67,1.2,526235,758963,70374,83967,7329,7453,44073,43326
26/3,16958,30411,155803,142797,1351,5426,36534,32908,10.9,15.7,5.4,38,0,13.5,18.3,8.4,50,0,721736,766536,95103,74952,9404,8033,106824,51149
27/3,17563,17868,155211,88218,1485,2849,36298,19480.36,12.1,17,8.2,51,0,14.3,20.1,8.9,40,0,714050,412545,99179,47918,9592,4996,47356,24590
28/3,10014,20526,92671,85550,1383,2301,18401,16529.22,14.5,20.7,8.9,42,0,16.6,21.3,11.8,47,0,410236,412166,56183,50010,5605,4011,26403,25690
