rule_id,antecedent,consequent,weight,support,mean_activation,max_activation
1,sales_lag_1 is Low AND sales_lag_2 is High AND sales_lag_3 is Low AND humidity is Low AND rainfall is Low,Low_8,1,0,0,0
2,sales_lag_1 is Low AND avg_temp is Low AND humidity is High AND rainfall is High,Medium_9,1,8,0.00584383471914624,0.102074920443232
3,sales_lag_2 is Low AND sales_lag_3 is Low,High_4,1,60,0.159262802652631,0.527172455575531
4,sales_lag_1 is High AND sales_lag_2 is Low AND sales_lag_3 is Low AND avg_temp is Low AND humidity is High AND rainfall is Low,Peak_11,1,0,0,0
5,sales_lag_1 is Low AND sales_lag_2 is Low AND sales_lag_3 is High AND avg_temp is Low AND humidity is Low,High_13,1,1,0.000348000255903871,0.0250560184250787
6,sales_lag_1 is Low AND avg_temp is Low AND rainfall is Low,Critical_Low,1,57,0.191902511815791,0.73059637029046
7,sales_lag_1 is High AND sales_lag_2 is High AND sales_lag_3 is High AND avg_temp is Low AND humidity is High AND rainfall is Low,Critical_Low_5,1,0,0,0
8,sales_lag_1 is High AND sales_lag_2 is Low AND sales_lag_3 is Low AND humidity is Low AND rainfall is High,High_7,1,0,0,0
9,sales_lag_1 is High AND sales_lag_2 is High AND sales_lag_3 is Low AND avg_temp is High AND humidity is Low AND rainfall is High,High_7,1,0,0,0
10,sales_lag_1 is Low AND sales_lag_2 is High AND humidity is Low AND rainfall is High,Medium_5,1,0,0,0
11,sales_lag_1 is Low AND avg_temp is Low AND rainfall is High,Critical_Low_12,1,10,0.0124107852901465,0.171757409126915
12,sales_lag_1 is Low AND sales_lag_2 is High AND sales_lag_3 is Low AND avg_temp is High AND humidity is High AND rainfall is Low,High_2,1,0,0,0
13,sales_lag_1 is Low AND sales_lag_3 is Low AND avg_temp is Low AND humidity is Low AND rainfall is Low,Critical_Low_8,1,1,0.000211491682991768,0.0152274011754073
14,sales_lag_3 is Low AND avg_temp is Low AND humidity is High,Critical_Low_10,1,49,0.109100124054179,0.659308852351424
15,sales_lag_1 is High AND sales_lag_2 is Low AND avg_temp is Low AND humidity is High AND rainfall is High,Critical_Low_8,1,0,0,0
16,sales_lag_1 is High AND sales_lag_2 is Low AND sales_lag_3 is Low AND rainfall is Low,Peak,1,0,0,0
17,sales_lag_3 is Low AND avg_temp is Low AND rainfall is Low,Critical_Low_7,1,60,0.193300825403151,0.635796802773651
18,sales_lag_2 is Low AND sales_lag_3 is Low AND avg_temp is High AND rainfall is High,High_8,1,4,0.00133712786440306,0.0318640963484795
19,sales_lag_1 is High AND sales_lag_2 is High AND sales_lag_3 is High AND avg_temp is High AND humidity is Low,High_2,1,0,0,0
20,sales_lag_2 is Low AND sales_lag_3 is Low AND avg_temp is Low AND humidity is High,Critical_Low_13,1,41,0.0537950785716961,0.436400156650894
21,sales_lag_1 is Low AND sales_lag_2 is Low AND sales_lag_3 is Low AND humidity is Low,Critical_Low_4,1,1,0.000247413544895153,0.017813775232451
22,sales_lag_1 is Low AND sales_lag_2 is Low AND sales_lag_3 is Low AND avg_temp is High AND rainfall is High,Medium_12,1,1,0.000589122615584105,0.0121013694318871
23,sales_lag_3 is High AND avg_temp is High AND humidity is High AND rainfall is Low,High_5,1,40,0.0684148449723637,0.623543350046748
24,sales_lag_2 is Low AND sales_lag_3 is High AND rainfall is Low,High,1,64,0.119908402173059,0.363886739139084
25,sales_lag_2 is Low AND avg_temp is High AND humidity is High AND rainfall is High,Critical_Low_11,1,5,0.00168592096906325,0.051385312333581
26,sales_lag_1 is Low AND sales_lag_2 is Low AND humidity is Low AND rainfall is Low,Peak_8,1,1,0.00172409116230707,0.124134563686109
27,sales_lag_1 is Low AND sales_lag_2 is Low AND sales_lag_3 is Low AND avg_temp is Low AND rainfall is Low,Low_11,1,41,0.0427519474669154,0.256492203557782
