date,category,sales,avg_temp,max_temp,min_temp,humidity,rainfall
2016-03-01,beer,44024.03,11.56,16.04,7.37,80.69,0.0
2016-03-02,beer,44204.34,13.03,17.73,10.41,81.86,0.0
2016-03-03,beer,38308.56,11.4,16.08,6.76,82.67,0.0
2016-03-04,beer,32911.25,12.5,18.07,9.53,74.22,8.5
2016-03-05,beer,32458.36,15.06,19.51,10.74,74.16,0.0
2016-03-06,beer,35643.66,13.9,20.88,11.15,72.5,21.9
2016-03-07,beer,36909.63,15.87,19.83,11.18,75.11,1.1
2016-03-08,beer,42548.45,13.22,17.22,9.42,75.29,0.0
2016-03-09,beer,41298.3,14.41,19.28,10.18,68.75,0.0
2016-03-10,beer,37617.58,13.52,17.72,8.22,77.94,0.0
2016-03-11,beer,38321.45,17.69,22.17,13.41,68.46,0.0
2016-03-12,beer,36288.6,15.1,20.68,10.44,65.59,0.0
2016-03-13,beer,32001.92,15.41,21.85,10.44,58.02,0.0
2016-03-14,beer,42462.71,17.06,22.04,12.79,58.38,3.82
2016-03-15,beer,47179.16,16.93,20.94,13.06,62.8,0.0
2016-03-16,beer,43743.7,13.76,18.36,9.26,61.11,0.0
2016-03-17,beer,42799.8,16.63,21.99,13.28,54.15,0.0
2016-03-18,beer,41647.76,16.24,21.75,11.05,59.79,0.0
2016-03-19,beer,34220.74,13.53,18.76,9.91,53.52,0.0
2016-03-20,beer,41776.9,13.52,17.67,9.01,57.37,0.66
2016-03-21,beer,43397.68,14.37,18.78,12.26,68.81,5.85
2016-03-22,beer,48282.65,13.96,18.7,9.38,58.06,0.0
2016-03-23,beer,39563.29,16.28,22.37,12.86,55.32,0.0
2016-03-24,beer,43559.99,14.25,18.72,9.7,61.95,0.0
2016-03-25,beer,38547.64,10.92,14.38,8.09,64.79,0.0
2016-03-26,beer,30697.51,11.09,17.5,7.76,64.97,0.0
2016-03-27,beer,32291.35,11.4,16.24,7.36,75.45,0.0
2016-03-28,beer,37008.21,13.53,17.8,10.27,66.64,0.0
2016-03-29,beer,39868.55,10.65,17.0,6.16,81.24,0.0
2016-03-30,beer,42446.88,12.23,16.57,8.61,72.26,0.0
2016-03-31,beer,43022.8,12.66,17.38,9.43,71.79,29.4
2016-04-01,beer,41056.07,11.69,17.43,6.44,71.7,0.0
2016-04-02,beer,35877.57,12.58,18.26,8.93,77.06,0.92
2016-04-03,beer,35998.95,13.4,16.65,8.74,86.16,0.0
2016-04-04,beer,40719.91,13.59,19.79,9.72,80.62,9.96
2016-04-05,beer,40509.21,11.32,17.45,7.58,83.64,6.06
2016-04-06,beer,41994.99,13.55,19.33,8.77,82.91,0.0
2016-04-07,beer,40360.31,12.32,17.28,8.43,82.97,6.27
2016-04-08,beer,28448.16,13.75,18.05,9.32,81.61,0.0
2016-04-09,beer,37573.28,15.33,21.27,10.4,79.85,12.66
2016-04-10,beer,33357.86,14.72,19.38,9.8,62.47,0.0
2016-04-11,beer,39766.09,14.67,20.65,11.52,72.05,0.0
2016-04-12,beer,42922.26,15.68,21.31,11.04,63.81,0.0
2016-04-13,beer,46388.12,18.16,21.61,14.46,63.8,0.0
2016-04-14,beer,40069.29,20.64,25.53,15.95,63.17,0.0
2016-04-15,beer,38444.32,19.03,23.86,14.21,57.44,0.0
2016-04-16,beer,37196.64,19.81,24.18,15.29,57.09,0.0
2016-04-17,beer,37207.35,20.44,24.69,16.25,57.17,0.0
2016-04-18,beer,42824.95,20.94,26.1,16.14,60.25,0.0
2016-04-19,beer,49367.59,23.7,28.53,19.98,56.15,0.0
2016-04-20,beer,50967.28,23.92,28.69,19.13,58.9,0.0
2016-04-21,beer,49341.53,23.42,28.21,19.71,49.28,0.0
2016-04-22,beer,44487.43,23.43,29.08,19.16,56.5,0.0
2016-04-23,beer,34220.42,20.61,26.19,16.79,60.28,0.0
2016-04-24,beer,42718.79,26.1,29.63,21.54,63.87,0.0
2016-04-25,beer,43569.56,25.11,29.96,20.28,60.92,0.0
2016-04-26,beer,50122.66,23.96,27.8,21.51,65.7,15.35
2016-04-27,beer,51153.51,24.72,30.43,19.73,65.83,0.0
2016-04-28,beer,36820.6,23.67,28.8,20.19,63.51,0.0
2016-04-29,beer,41270.58,24.81,30.2,22.03,72.65,0.0
